Pavarde            Vardas       Galutinis
-------------------------------------------------------
Navickas           1Vardenis   3.88
Kazlauskas         3Vardenis   4.00
Pranevicius        4Vardenis   3.08
Urbonas            7Vardenis   4.24
Kavaliauskas       8Vardenis   4.24
Jankauskas         11Vardenis  4.28
Kazlauskas         13Vardenis  2.04
Urbonas            17Vardenis  4.16
Petrauskas         18Vardenis  3.88
Butkus             22Vardenis  3.32
Vasiliauskas       26Vardenis  2.52
Ramanauskas        29Vardenis  3.04
Kavaliauskas       34Vardenis  4.96
Ramanauskas        35Vardenis  3.80
Urbonas            37Vardenis  2.76
Kazlauskas         38Vardenis  4.08
Jankauskas         41Vardenis  4.20
Navickas           42Vardenis  4.96
Pranevicius        44Vardenis  3.32
Urbonas            47Vardenis  2.72
Kazlauskas         48Vardenis  4.12
Vasiliauskas       54Vardenis  4.56
Petrauskas         60Vardenis  3.80
Kazlauskas         64Vardenis  3.56
Kavaliauskas       68Vardenis  4.28
Jankauskas         72Vardenis  4.16
Vasiliauskas       75Vardenis  2.68
Ramanauskas        76Vardenis  3.60
Navickas           77Vardenis  4.12
Kavaliauskas       78Vardenis  3.56
Vasiliauskas       79Vardenis  3.60
Butkus             81Vardenis  4.16
Navickas           89Vardenis  4.08
Navickas           94Vardenis  4.16
Jankauskas         97Vardenis  3.04
Vasiliauskas       100Vardenis 4.96
Ramanauskas        106Vardenis 4.68
Vasiliauskas       109Vardenis 3.60
Pranevicius        112Vardenis 4.48
Kavaliauskas       113Vardenis 4.40
Kazlauskas         114Vardenis 3.40
Pranevicius        118Vardenis 2.20
Kazlauskas         123Vardenis 4.92
Kavaliauskas       124Vardenis 2.44
Butkus             126Vardenis 4.56
Jankauskas         127Vardenis 4.28
Petrauskas         129Vardenis 2.52
Pranevicius        133Vardenis 3.68
Jankauskas         134Vardenis 2.84
Pranevicius        135Vardenis 2.52
Pranevicius        139Vardenis 2.36
Petrauskas         140Vardenis 3.08
Butkus             141Vardenis 3.92
Urbonas            142Vardenis 4.68
Navickas           144Vardenis 3.00
Urbonas            146Vardenis 2.28
Navickas           148Vardenis 3.84
Navickas           149Vardenis 3.68
Vasiliauskas       156Vardenis 4.00
