Pavarde            Vardas       Galutinis
-------------------------------------------------------
Pranevicius        3Vardenis   4.48
Ramanauskas        12Vardenis  4.12
Kavaliauskas       15Vardenis  3.84
Butkus             16Vardenis  3.40
Navickas           19Vardenis  4.28
Urbonas            20Vardenis  3.32
Pranevicius        23Vardenis  3.00
Ramanauskas        24Vardenis  4.80
Ramanauskas        26Vardenis  4.48
Navickas           27Vardenis  3.68
Vasiliauskas       31Vardenis  4.36
Navickas           35Vardenis  3.88
Petrauskas         36Vardenis  3.00
Ramanauskas        37Vardenis  1.80
Ramanauskas        39Vardenis  2.92
Jankauskas         43Vardenis  3.08
Ramanauskas        44Vardenis  3.72
Kazlauskas         45Vardenis  4.00
Pranevicius        47Vardenis  4.84
Ramanauskas        50Vardenis  2.64
Butkus             53Vardenis  2.48
Petrauskas         54Vardenis  2.80
Vasiliauskas       56Vardenis  4.76
Navickas           57Vardenis  4.72
Pranevicius        59Vardenis  4.60
Kavaliauskas       64Vardenis  3.48
Kazlauskas         66Vardenis  2.76
Vasiliauskas       69Vardenis  3.16
Ramanauskas        70Vardenis  3.64
Pranevicius        71Vardenis  3.56
Butkus             74Vardenis  4.52
Pranevicius        78Vardenis  4.20
Jankauskas         79Vardenis  4.56
Kazlauskas         82Vardenis  4.20
Kavaliauskas       85Vardenis  3.36
Kazlauskas         87Vardenis  3.24
Butkus             88Vardenis  4.12
Butkus             90Vardenis  4.52
Kavaliauskas       93Vardenis  4.96
Urbonas            96Vardenis  3.96
Kazlauskas         99Vardenis  2.12
Jankauskas         100Vardenis 2.36
Pranevicius        103Vardenis 4.64
Vasiliauskas       107Vardenis 4.48
Vasiliauskas       117Vardenis 4.44
Petrauskas         118Vardenis 4.80
Navickas           119Vardenis 4.88
Petrauskas         121Vardenis 3.64
Vasiliauskas       122Vardenis 3.44
Petrauskas         124Vardenis 3.20
Jankauskas         126Vardenis 2.44
Petrauskas         127Vardenis 4.16
Vasiliauskas       129Vardenis 3.00
Urbonas            130Vardenis 4.68
Ramanauskas        131Vardenis 3.20
Petrauskas         133Vardenis 3.84
Pranevicius        141Vardenis 3.08
Kavaliauskas       142Vardenis 3.20
Butkus             144Vardenis 3.88
Butkus             146Vardenis 3.20
Kazlauskas         151Vardenis 2.20
Kavaliauskas       152Vardenis 4.64
Butkus             153Vardenis 3.76
Pranevicius        157Vardenis 3.60
Ramanauskas        159Vardenis 3.08
Vasiliauskas       163Vardenis 2.76
Pranevicius        167Vardenis 3.64
Butkus             168Vardenis 3.68
Ramanauskas        170Vardenis 1.72
Urbonas            171Vardenis 4.64
Ramanauskas        172Vardenis 4.08
Ramanauskas        173Vardenis 2.76
Pranevicius        174Vardenis 3.76
Ramanauskas        175Vardenis 4.68
Butkus             179Vardenis 3.80
Petrauskas         184Vardenis 4.96
Vasiliauskas       186Vardenis 2.44
Jankauskas         188Vardenis 4.04
Vasiliauskas       189Vardenis 3.72
Jankauskas         190Vardenis 4.48
Jankauskas         191Vardenis 4.56
Kavaliauskas       195Vardenis 4.72
Vasiliauskas       198Vardenis 4.48
Urbonas            200Vardenis 4.88
Pranevicius        203Vardenis 3.20
Petrauskas         206Vardenis 2.92
Urbonas            210Vardenis 4.20
Navickas           214Vardenis 3.48
Pranevicius        217Vardenis 4.88
Ramanauskas        227Vardenis 3.96
Ramanauskas        231Vardenis 4.96
Urbonas            232Vardenis 4.00
Ramanauskas        233Vardenis 3.08
Urbonas            240Vardenis 4.52
Kavaliauskas       247Vardenis 3.72
Vasiliauskas       248Vardenis 2.52
Pranevicius        249Vardenis 4.72
Jankauskas         252Vardenis 3.28
Vasiliauskas       254Vardenis 4.88
Petrauskas         256Vardenis 3.44
Kazlauskas         257Vardenis 2.96
Butkus             263Vardenis 4.92
Pranevicius        266Vardenis 3.72
Pranevicius        267Vardenis 4.32
Jankauskas         269Vardenis 3.28
Ramanauskas        270Vardenis 2.44
Pranevicius        275Vardenis 2.84
Ramanauskas        278Vardenis 2.48
Navickas           279Vardenis 4.12
Navickas           280Vardenis 4.24
Vasiliauskas       282Vardenis 2.76
Navickas           286Vardenis 4.36
Urbonas            292Vardenis 2.64
Jankauskas         293Vardenis 3.24
Kavaliauskas       295Vardenis 4.84
Urbonas            298Vardenis 3.32
Ramanauskas        299Vardenis 3.92
Petrauskas         300Vardenis 4.80
Urbonas            305Vardenis 4.20
Kazlauskas         307Vardenis 1.96
Pranevicius        310Vardenis 3.68
Butkus             314Vardenis 4.76
Kavaliauskas       316Vardenis 4.40
Urbonas            318Vardenis 4.52
Butkus             319Vardenis 2.20
Kazlauskas         322Vardenis 3.96
Petrauskas         324Vardenis 3.28
Petrauskas         328Vardenis 3.44
Navickas           329Vardenis 4.88
Jankauskas         331Vardenis 3.84
Urbonas            332Vardenis 4.92
Urbonas            336Vardenis 2.44
Butkus             337Vardenis 3.20
Urbonas            338Vardenis 4.04
Kazlauskas         339Vardenis 4.40
Petrauskas         340Vardenis 3.16
Petrauskas         342Vardenis 3.08
Kazlauskas         344Vardenis 3.92
Ramanauskas        346Vardenis 3.32
Kavaliauskas       351Vardenis 2.36
Jankauskas         358Vardenis 2.76
