Pavarde            Vardas       Galutinis
-------------------------------------------------------
Urbonas            2Vardenis   6.16
Vasiliauskas       5Vardenis   7.56
Ramanauskas        6Vardenis   5.56
Pranevicius        9Vardenis   8.40
Vasiliauskas       10Vardenis  7.52
Kazlauskas         12Vardenis  6.60
Pranevicius        14Vardenis  5.12
Navickas           15Vardenis  5.04
Vasiliauskas       16Vardenis  6.68
Butkus             19Vardenis  7.32
Ramanauskas        20Vardenis  8.28
Kavaliauskas       21Vardenis  7.72
Jankauskas         23Vardenis  8.48
Kazlauskas         24Vardenis  8.76
Navickas           25Vardenis  7.24
Pranevicius        27Vardenis  7.04
Jankauskas         28Vardenis  7.60
Pranevicius        30Vardenis  7.72
Navickas           31Vardenis  6.28
Urbonas            32Vardenis  9.44
Ramanauskas        33Vardenis  6.44
Petrauskas         36Vardenis  6.20
Petrauskas         39Vardenis  7.12
Ramanauskas        40Vardenis  5.48
Ramanauskas        43Vardenis  5.96
Kazlauskas         45Vardenis  8.24
Vasiliauskas       46Vardenis  7.76
Navickas           49Vardenis  5.28
Kavaliauskas       50Vardenis  5.88
Navickas           51Vardenis  5.80
Urbonas            52Vardenis  8.48
Urbonas            53Vardenis  5.60
Ramanauskas        55Vardenis  8.12
Petrauskas         56Vardenis  6.80
Kazlauskas         57Vardenis  7.04
Navickas           58Vardenis  7.52
Kazlauskas         59Vardenis  7.00
Petrauskas         61Vardenis  8.08
Navickas           62Vardenis  5.40
Pranevicius        63Vardenis  5.68
Ramanauskas        65Vardenis  6.40
Ramanauskas        66Vardenis  8.04
Ramanauskas        67Vardenis  8.24
Pranevicius        69Vardenis  8.72
Ramanauskas        70Vardenis  6.32
Pranevicius        71Vardenis  6.56
Ramanauskas        73Vardenis  5.68
Kavaliauskas       74Vardenis  8.96
Kazlauskas         80Vardenis  7.00
Vasiliauskas       82Vardenis  5.52
Navickas           83Vardenis  8.96
Urbonas            84Vardenis  8.16
Vasiliauskas       85Vardenis  9.12
Vasiliauskas       86Vardenis  6.40
Kazlauskas         87Vardenis  8.48
Ramanauskas        88Vardenis  5.28
Petrauskas         90Vardenis  8.24
Navickas           91Vardenis  6.96
Urbonas            92Vardenis  5.60
Urbonas            93Vardenis  7.68
Petrauskas         95Vardenis  7.00
Petrauskas         96Vardenis  8.24
Butkus             98Vardenis  7.12
Ramanauskas        99Vardenis  6.80
Navickas           101Vardenis 7.48
Butkus             102Vardenis 6.20
Kazlauskas         103Vardenis 6.36
Urbonas            104Vardenis 5.60
Jankauskas         105Vardenis 6.16
Kazlauskas         107Vardenis 9.36
Pranevicius        108Vardenis 6.00
Pranevicius        110Vardenis 6.28
Vasiliauskas       111Vardenis 5.48
Navickas           115Vardenis 8.32
Kazlauskas         116Vardenis 6.80
Navickas           117Vardenis 8.24
Kazlauskas         119Vardenis 5.84
Kazlauskas         120Vardenis 7.92
