Pavarde            Vardas       Galutinis
-------------------------------------------------------
Jankauskas         1Vardenis   6.52
Navickas           2Vardenis   8.16
Jankauskas         3Vardenis   7.68
Urbonas            4Vardenis   7.24
Urbonas            5Vardenis   7.92
Jankauskas         6Vardenis   6.60
Navickas           8Vardenis   8.44
Pranevicius        10Vardenis  7.08
Butkus             12Vardenis  6.32
Kazlauskas         13Vardenis  5.84
Pranevicius        16Vardenis  5.80
Vasiliauskas       17Vardenis  5.96
Petrauskas         18Vardenis  7.64
Ramanauskas        20Vardenis  5.96
Navickas           23Vardenis  6.88
Vasiliauskas       24Vardenis  8.20
Urbonas            25Vardenis  6.04
Ramanauskas        27Vardenis  7.44
Petrauskas         28Vardenis  6.76
Petrauskas         29Vardenis  7.44
Pranevicius        31Vardenis  7.88
Pranevicius        32Vardenis  5.64
Jankauskas         34Vardenis  6.00
Navickas           35Vardenis  7.44
Jankauskas         37Vardenis  6.24
Kavaliauskas       40Vardenis  5.32
Kazlauskas         42Vardenis  7.24
Petrauskas         43Vardenis  7.28
Navickas           46Vardenis  6.28
Urbonas            47Vardenis  6.96
Ramanauskas        48Vardenis  5.80
Navickas           49Vardenis  6.52
Navickas           50Vardenis  6.52
Petrauskas         51Vardenis  6.48
Navickas           53Vardenis  6.52
Vasiliauskas       54Vardenis  8.28
Ramanauskas        55Vardenis  7.60
Vasiliauskas       58Vardenis  5.60
Kavaliauskas       59Vardenis  5.24
Pranevicius        61Vardenis  7.08
Jankauskas         62Vardenis  5.08
Vasiliauskas       64Vardenis  5.28
Navickas           65Vardenis  8.48
Kavaliauskas       66Vardenis  6.64
Pranevicius        67Vardenis  6.96
Pranevicius        70Vardenis  7.52
Ramanauskas        75Vardenis  7.80
Vasiliauskas       76Vardenis  8.28
Urbonas            77Vardenis  8.64
Jankauskas         78Vardenis  6.96
Urbonas            79Vardenis  6.64
Ramanauskas        80Vardenis  7.28
Ramanauskas        81Vardenis  8.72
Navickas           84Vardenis  5.92
Kazlauskas         85Vardenis  5.84
Navickas           86Vardenis  6.72
Vasiliauskas       87Vardenis  5.80
Vasiliauskas       88Vardenis  7.96
Jankauskas         89Vardenis  7.44
Kavaliauskas       90Vardenis  6.76
Navickas           91Vardenis  6.80
Kavaliauskas       93Vardenis  5.12
Jankauskas         96Vardenis  7.88
Urbonas            99Vardenis  9.04
Ramanauskas        103Vardenis 7.84
Petrauskas         106Vardenis 7.68
Kazlauskas         108Vardenis 7.08
Navickas           111Vardenis 6.80
Vasiliauskas       113Vardenis 8.16
Butkus             115Vardenis 5.44
Vasiliauskas       117Vardenis 5.72
Petrauskas         118Vardenis 7.20
Vasiliauskas       119Vardenis 8.72
Urbonas            122Vardenis 6.80
Kavaliauskas       125Vardenis 6.04
Kavaliauskas       127Vardenis 7.24
Navickas           129Vardenis 6.52
Kazlauskas         131Vardenis 6.72
Kavaliauskas       134Vardenis 7.96
Butkus             135Vardenis 5.16
Kazlauskas         136Vardenis 5.52
Urbonas            138Vardenis 6.44
Kazlauskas         139Vardenis 6.48
Kazlauskas         140Vardenis 6.04
Kavaliauskas       142Vardenis 6.76
Urbonas            143Vardenis 5.88
Ramanauskas        144Vardenis 6.00
Vasiliauskas       145Vardenis 5.80
Butkus             146Vardenis 5.12
Vasiliauskas       148Vardenis 5.20
Butkus             149Vardenis 7.32
Kavaliauskas       150Vardenis 6.40
Kavaliauskas       151Vardenis 7.64
Petrauskas         152Vardenis 5.72
Kavaliauskas       155Vardenis 7.40
Petrauskas         160Vardenis 5.48
Kavaliauskas       163Vardenis 5.88
Jankauskas         167Vardenis 5.88
Kazlauskas         168Vardenis 6.36
Kavaliauskas       170Vardenis 5.16
Vasiliauskas       174Vardenis 6.00
Kazlauskas         178Vardenis 8.12
Urbonas            183Vardenis 7.52
Jankauskas         187Vardenis 5.08
Pranevicius        189Vardenis 6.40
Ramanauskas        190Vardenis 7.92
Urbonas            191Vardenis 6.20
Vasiliauskas       192Vardenis 8.04
Urbonas            193Vardenis 7.40
Urbonas            194Vardenis 8.36
Kazlauskas         196Vardenis 5.28
Urbonas            197Vardenis 7.68
Ramanauskas        198Vardenis 7.88
Vasiliauskas       199Vardenis 5.80
Vasiliauskas       200Vardenis 8.96
Petrauskas         201Vardenis 8.56
Ramanauskas        207Vardenis 5.88
Navickas           210Vardenis 5.16
Navickas           211Vardenis 6.80
Ramanauskas        213Vardenis 6.40
Urbonas            214Vardenis 8.32
Navickas           217Vardenis 5.00
Butkus             218Vardenis 6.16
Vasiliauskas       223Vardenis 5.20
Vasiliauskas       224Vardenis 7.20
Navickas           225Vardenis 7.12
Urbonas            226Vardenis 6.08
Vasiliauskas       227Vardenis 5.68
Pranevicius        228Vardenis 6.40
Jankauskas         229Vardenis 6.72
Petrauskas         230Vardenis 8.56
Butkus             231Vardenis 6.28
Kavaliauskas       232Vardenis 6.08
Vasiliauskas       235Vardenis 5.12
Petrauskas         237Vardenis 6.56
Ramanauskas        238Vardenis 5.48
Ramanauskas        240Vardenis 6.56
Jankauskas         241Vardenis 6.52
Ramanauskas        242Vardenis 7.72
Kavaliauskas       244Vardenis 7.44
Petrauskas         245Vardenis 5.64
Vasiliauskas       247Vardenis 6.72
Jankauskas         253Vardenis 8.72
Butkus             258Vardenis 6.08
Pranevicius        259Vardenis 8.16
Urbonas            260Vardenis 8.44
Vasiliauskas       261Vardenis 7.32
Jankauskas         262Vardenis 7.44
Urbonas            263Vardenis 7.12
Ramanauskas        264Vardenis 5.48
Kazlauskas         265Vardenis 5.16
Kavaliauskas       268Vardenis 7.36
Ramanauskas        270Vardenis 8.28
Petrauskas         271Vardenis 7.20
Ramanauskas        272Vardenis 8.24
Navickas           273Vardenis 7.20
Ramanauskas        276Vardenis 5.76
Ramanauskas        277Vardenis 6.12
Ramanauskas        278Vardenis 5.16
Kazlauskas         280Vardenis 5.76
Jankauskas         281Vardenis 5.64
Petrauskas         282Vardenis 6.64
Urbonas            283Vardenis 6.88
Kavaliauskas       284Vardenis 7.80
Pranevicius        286Vardenis 7.60
Pranevicius        287Vardenis 7.36
Vasiliauskas       289Vardenis 5.84
Butkus             290Vardenis 5.24
Kavaliauskas       291Vardenis 6.44
Urbonas            292Vardenis 6.52
Urbonas            293Vardenis 7.72
Kavaliauskas       294Vardenis 7.64
Pranevicius        295Vardenis 5.08
Vasiliauskas       300Vardenis 5.24
Pranevicius        301Vardenis 7.68
Jankauskas         302Vardenis 6.64
Petrauskas         304Vardenis 6.88
Butkus             308Vardenis 6.80
Kazlauskas         309Vardenis 8.20
Urbonas            311Vardenis 6.36
Butkus             312Vardenis 8.64
Petrauskas         315Vardenis 7.84
Kavaliauskas       317Vardenis 6.12
Butkus             318Vardenis 7.72
Pranevicius        321Vardenis 7.40
Urbonas            322Vardenis 7.28
Pranevicius        328Vardenis 5.56
Jankauskas         329Vardenis 7.88
Ramanauskas        333Vardenis 5.88
Vasiliauskas       335Vardenis 7.64
Butkus             337Vardenis 7.52
Ramanauskas        338Vardenis 8.40
Kavaliauskas       343Vardenis 8.24
Vasiliauskas       345Vardenis 6.32
Vasiliauskas       349Vardenis 5.96
Ramanauskas        351Vardenis 5.72
Pranevicius        352Vardenis 5.16
Butkus             355Vardenis 7.00
Vasiliauskas       356Vardenis 6.32
Ramanauskas        357Vardenis 5.16
Navickas           360Vardenis 6.96
Ramanauskas        361Vardenis 7.96
Pranevicius        362Vardenis 5.72
Navickas           365Vardenis 5.96
Pranevicius        366Vardenis 7.00
Butkus             369Vardenis 5.64
Petrauskas         372Vardenis 8.00
Petrauskas         373Vardenis 5.00
Urbonas            374Vardenis 9.20
Urbonas            375Vardenis 6.24
Urbonas            378Vardenis 6.32
Vasiliauskas       380Vardenis 5.24
Jankauskas         381Vardenis 5.36
Vasiliauskas       382Vardenis 5.08
Ramanauskas        383Vardenis 5.60
Kavaliauskas       384Vardenis 5.48
Jankauskas         385Vardenis 5.00
Vasiliauskas       386Vardenis 6.84
Pranevicius        387Vardenis 7.68
Kazlauskas         390Vardenis 7.76
Kavaliauskas       391Vardenis 7.68
Vasiliauskas       392Vardenis 6.60
Vasiliauskas       393Vardenis 7.40
Jankauskas         394Vardenis 8.64
Navickas           395Vardenis 7.80
Ramanauskas        396Vardenis 6.80
Urbonas            397Vardenis 5.00
Urbonas            398Vardenis 6.76
Urbonas            400Vardenis 6.40
Vasiliauskas       401Vardenis 5.44
Kavaliauskas       402Vardenis 8.96
Ramanauskas        403Vardenis 6.16
Petrauskas         405Vardenis 5.92
Urbonas            406Vardenis 6.96
Vasiliauskas       407Vardenis 6.28
Kavaliauskas       408Vardenis 5.24
Vasiliauskas       409Vardenis 5.80
Pranevicius        410Vardenis 7.96
Vasiliauskas       411Vardenis 5.52
Navickas           412Vardenis 6.92
Butkus             413Vardenis 7.32
Pranevicius        418Vardenis 5.60
Pranevicius        419Vardenis 6.36
Navickas           420Vardenis 5.68
Butkus             421Vardenis 6.28
Petrauskas         423Vardenis 8.08
Kazlauskas         426Vardenis 7.80
Navickas           427Vardenis 6.28
Butkus             428Vardenis 6.24
Ramanauskas        429Vardenis 7.96
Butkus             430Vardenis 5.12
Vasiliauskas       432Vardenis 5.44
Kavaliauskas       433Vardenis 7.40
Petrauskas         435Vardenis 6.48
Petrauskas         436Vardenis 7.12
Vasiliauskas       437Vardenis 5.64
Urbonas            438Vardenis 5.76
Pranevicius        439Vardenis 5.72
Urbonas            443Vardenis 8.64
Urbonas            444Vardenis 9.04
Pranevicius        445Vardenis 6.48
Pranevicius        446Vardenis 5.80
Navickas           447Vardenis 8.00
